open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.63272E+12,2021-09-27 11:00:00,44038.74,44250,43662,43688.03,5042.54367,1.63273E+12,2021-09-27 15:00:00
1.63273E+12,2021-09-27 15:00:00,43685.34,44129.28,43367.57,43747.69,6312.56101,1.63274E+12,2021-09-27 19:00:00
1.63274E+12,2021-09-27 19:00:00,43747.68,44089.75,43045.53,43293.26,8097.29964,1.63276E+12,2021-09-27 23:00:00
1.63276E+12,2021-09-27 23:00:00,43293.27,43416.42,42850,43011.82,6042.74948,1.63277E+12,2021-09-28 03:00:00
1.63277E+12,2021-09-28 03:00:00,43011.82,43400,42098,42147.35,6650.19466,1.63279E+12,2021-09-28 07:00:00
1.63279E+12,2021-09-28 07:00:00,42147.35,42703.65,41942,42558.4,6135.42718,1.6328E+12,2021-09-28 11:00:00
1.6328E+12,2021-09-28 11:00:00,42558.41,42787.38,41650,41775.25,6587.71759,1.63282E+12,2021-09-28 15:00:00
1.63282E+12,2021-09-28 15:00:00,41777.79,42174.26,41514.12,42101.49,8390.10412,1.63283E+12,2021-09-28 19:00:00
1.63283E+12,2021-09-28 19:00:00,42105.61,42593.69,41278.49,41447.18,10870.85097,1.63284E+12,2021-09-28 23:00:00
1.63284E+12,2021-09-28 23:00:00,41447.18,41763.97,41115,41601.99,6244.9725,1.63286E+12,2021-09-29 03:00:00
1.63286E+12,2021-09-29 03:00:00,41601.8,42017.33,40888,41026.54,5143.19004,1.63287E+12,2021-09-29 07:00:00
1.63287E+12,2021-09-29 07:00:00,41025.01,42274.76,40753.88,42199.99,7546.17963,1.63289E+12,2021-09-29 11:00:00
1.63289E+12,2021-09-29 11:00:00,42199.99,42476.26,42000,42450.25,3870.2589,1.6329E+12,2021-09-29 14:00:00
1.6329E+12,2021-09-29 15:00:00,42442,42500,42000,42399.98,4019.72227,1.63292E+12,2021-09-29 19:00:00
1.63292E+12,2021-09-29 19:00:00,42399.98,42590,41619.99,41698.98,7424.90548,1.63293E+12,2021-09-29 23:00:00
1.63293E+12,2021-09-29 23:00:00,41698.97,41824.01,41052.4,41207.86,5907.52309,1.63295E+12,2021-09-30 03:00:00
1.63295E+12,2021-09-30 03:00:00,41207.87,41580.67,40900,41524.28,4742.9455,1.63296E+12,2021-09-30 07:00:00
1.63296E+12,2021-09-30 07:00:00,41524.29,43729.68,41410.17,43591.23,10700.82651,1.63297E+12,2021-09-30 11:00:00
1.63297E+12,2021-09-30 11:00:00,43591.24,43830,43217.16,43286.88,5896.65545,1.63299E+12,2021-09-30 15:00:00
1.63299E+12,2021-09-30 15:00:00,43286.88,43446.77,42697.01,43072.29,7385.82971,1.633E+12,2021-09-30 19:00:00
1.633E+12,2021-09-30 19:00:00,43072.29,43777,42850,43149.02,9589.71375,1.63302E+12,2021-09-30 23:00:00
1.63302E+12,2021-09-30 23:00:00,43149.02,44141.37,42819.86,43532.31,8533.13649,1.63303E+12,2021-10-01 03:00:00
1.63303E+12,2021-10-01 03:00:00,43532.32,43915.89,43100,43824.1,4275.0659,1.63305E+12,2021-10-01 07:00:00
1.63305E+12,2021-10-01 07:00:00,43820.01,44059,43283.03,43635.79,5635.94634,1.63306E+12,2021-10-01 11:00:00
1.63306E+12,2021-10-01 11:00:00,43635.79,44836,43456.46,44788.42,8500.0692,1.63308E+12,2021-10-01 15:00:00
1.63308E+12,2021-10-01 15:00:00,44788.42,47786.7,44700,47488.08,21685.65842,1.63309E+12,2021-10-01 19:00:00
1.63309E+12,2021-10-01 19:00:00,47488.07,47886.11,46763.68,47363.68,14747.75492,1.6331E+12,2021-10-01 23:00:00
1.6331E+12,2021-10-01 23:00:00,47363.69,48190,47232.98,48030,8403.11668,1.63312E+12,2021-10-02 03:00:00
1.63312E+12,2021-10-02 03:00:00,48029.99,48495,47710.01,48141.61,7272.32936,1.63313E+12,2021-10-02 07:00:00
1.63313E+12,2021-10-02 07:00:00,48141.6,48224.01,47443.98,47520.84,6138.50236,1.63315E+12,2021-10-02 11:00:00
1.63315E+12,2021-10-02 11:00:00,47520.84,47900,47430.18,47725.01,4435.01689,1.63316E+12,2021-10-02 15:00:00
